SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
AAL,1/2/2014,25.07,25.82,25.06,25.36,8998943
AAPL,1/2/2014,79.3828,79.5756,78.8601,79.0185,58791957
AAP,1/2/2014,110.36,111.88,109.29,109.74,542711
ABBV,1/2/2014,52.12,52.33,51.52,51.98,4569061
ABC,1/2/2014,70.11,70.23,69.48,69.89,1148391
ABT,1/2/2014,38.09,38.4,38,38.23,4967472
ACN,1/2/2014,81.5,81.92,81.09,81.13,2405384
ADBE,1/2/2014,59.06,59.53,58.94,59.29,2746370
ADI,1/2/2014,49.52,49.75,49.04,49.28,2799092
ADM,1/2/2014,43.22,43.29,42.79,42.99,2753765
ADP,1/2/2014,80.17,80.45,79.38,79.86,1965869
ADSK,1/2/2014,49.33,49.74,48.88,49.25,2488043
ADS,1/2/2014,262.44,262.68,258.78,262.34,547808
AEE,1/2/2014,36.05,36.11,35.47,35.53,1394264
AEP,1/2/2014,46.98,47.06,46.04,46.13,2752002
AES,1/2/2014,14.51,14.56,14.19,14.27,3987216
AET,1/2/2014,68.21,68.6,67.52,67.56,1650687
AFL,1/2/2014,66.63,66.694,65.81,65.96,1914657
AGN,1/2/2014,167.33,170.71,166.5937,168.05,1268722
AIG,1/2/2014,50.81,51.3,50.47,50.71,9198092
AIV,1/2/2014,25.9,26.14,25.66,25.91,844901
AIZ,1/2/2014,66.04,66.19,65.15,65.32,375524
AJG,1/2/2014,46.67,46.89,46.09,46.15,483694
AKAM,1/2/2014,47.11,47.1799,46.42,46.53,935107
ALB,1/2/2014,63.38,63.6,62.6,63.14,548782
ALGN,1/2/2014,57.06,57.37,56.43,56.96,437600
ALK,1/2/2014,36.665,36.965,36.275,36.59,900234
ALLE,1/2/2014,44.08,44.18,43.27,43.65,992872
ALL,1/2/2014,54.09,54.45,53.5,53.55,1909106
ALXN,1/2/2014,132.46,133.82,130.54,133.44,760197
AMAT,1/2/2014,17.69,17.69,17.37,17.55,7785873
AMD,1/2/2014,3.85,3.98,3.84,3.95,20569754
AME,1/2/2014,52.43,52.52,51.9,52.09,570244
AMGN,1/2/2014,114.36,116.19,114.06,115.795,2529728
AMG,1/2/2014,215.92,216.69,211.79,213.38,285563
AMP,1/2/2014,114.58,114.81,113.42,113.88,783767
AMT,1/2/2014,79.51,79.74,78.85,79.45,1701345
AMZN,1/2/2014,398.8,399.36,394.02,397.97,2140246
ANDV,1/2/2014,58.2,59.07,57.2601,57.96,2868883
ANSS,1/2/2014,86.44,87.15,85.29,86.01,276882
ANTM,1/2/2014,92,92.01,90.62,90.63,1432038
AON,1/2/2014,83.36,83.7,82.26,82.36,1209157
AOS,1/2/2014,26.965,26.99,26.535,26.66,1296914
APA,1/2/2014,85.82,85.97,85.16,85.48,2565384
APC,1/2/2014,79.03,79.03,78.01,78.56,3352844
APD,1/2/2014,111.56,111.95,111.11,111.44,839074
APH,1/2/2014,44.365,44.395,43.73,43.87,883640
ARE,1/2/2014,63.34,64.11,62.93,63.73,402659
ARNC,1/2/2014,31.59,31.74,30.93,31.59,7432953
ATVI,1/2/2014,17.91,18.075,17.8,18.07,6620855
AVB,1/2/2014,118.25,119.26,117.68,118.24,901928
AVGO,1/2/2014,52.85,52.88,51.89,52.65,1453732
AVY,1/2/2014,50.09,50.19,49.445,49.61,645964
AWK,1/2/2014,42.01,42.0899,41.5,41.58,788839
AXP,1/2/2014,90.9,91.08,89.38,89.45,5120019
AYI,1/2/2014,109.22,109.26,106.84,107.65,254146
AZO,1/2/2014,477.67,479.7,472.51,474.11,151840
A,1/2/2014,57.1,57.1,56.15,56.21,1916160
BAC,1/2/2014,15.69,16.16,15.68,16.1,149225696
BAX,1/2/2014,69.54,69.68,69.04,69.19,2069974
BA,1/2/2014,136.01,137.25,135.51,136.67,3368009
BBT,1/2/2014,37.18,37.18,36.7,36.77,3185617
BBY,1/2/2014,39.75,41,39.62,40.5,4019318
BDX,1/2/2014,110.41,110.41,108.79,109.14,665048
BEN,1/2/2014,57.36,57.56,56.405,56.72,1098073
BF.B,1/2/2014,37.775,37.84,37.005,37.325,704366
BIIB,1/2/2014,279.44,282.515,276.21,280.33,902226
BK,1/2/2014,34.3,35.03,34.3,34.56,3469457
BLK,1/2/2014,315.38,315.38,310.4699,312.8,396548
BLL,1/2/2014,25.625,25.81,25.5625,25.705,1234874
BMY,1/2/2014,52.52,53.16,52.14,52.27,5654293
BRK.B,1/2/2014,118.34,118.5,117.36,117.5,3087000
BSX,1/2/2014,12.02,12.02,11.85,11.91,7971602
BWA,1/2/2014,55.89,55.96,54.59,54.94,1301497
BXP,1/2/2014,100.22,101.36,99.55,100.39,894806
CAG,1/2/2014,33.66,33.73,33.46,33.57,1904047
CAH,1/2/2014,66.45,66.6475,65.91,66.13,1608509
CAT,1/2/2014,90.41,90.45,89.33,89.87,4898714
CA,1/2/2014,33.49,33.56,33.02,33.15,1948770
CBG,1/2/2014,26.27,26.55,26.07,26.34,2607046
CBOE,1/2/2014,51.89,51.9789,50.76,50.98,522121
CBS,1/2/2014,63.25,63.73,62.41,63.25,6722968
CB,1/2/2014,102.78,103.39,101.33,101.7,1112627
CCI,1/2/2014,73.14,73.2,71.23,71.63,3659722
CCL,1/2/2014,39.64,39.995,39.61,39.81,2953583
CDNS,1/2/2014,14,14.08,13.92,14.01,3118223
CELG,1/2/2014,84.505,86.17,84.085,85.97,4759036
CERN,1/2/2014,55.48,55.6,54.82,55.07,1111541
CF,1/2/2014,46.606,47.36,46.4588,46.738,3460110
CHD,1/2/2014,33.13,33.155,32.61,32.75,1035860
CHK,1/2/2014,27.07,27.22,26.45,26.62,7040026
CHRW,1/2/2014,58.21,58.48,57.61,57.82,1503287
CHTR,1/2/2014,137.15,137.6799,134.48,134.755,1119877
CINF,1/2/2014,52.15,52.185,51.25,51.45,541030
CI,1/2/2014,86.99,87.45,86.19,86.2,1021731
CLX,1/2/2014,92.75,92.75,90.65,91.16,1353357
CL,1/2/2014,64.89,65.03,64,64.3,3004468
CMA,1/2/2014,47.24,47.43,46.84,46.85,1094704
CMCSA,1/2/2014,25.9,25.95,25.635,25.725,19522498
CME,1/2/2014,77.96,78.75,77.32,77.96,2070876
CMG,1/2/2014,530,532.9599,521.53,523.43,456491
CMI,1/2/2014,140.43,140.98,138.28,138.56,1533605
CMS,1/2/2014,26.8,26.8,26.205,26.3,2218229
CNC,1/2/2014,29.48,29.64,29.215,29.52,1005594
CNP,1/2/2014,23.17,23.29,22.81,22.82,2980414
COF,1/2/2014,76.61,77.73,76.6,77.25,3070336
COG,1/2/2014,38.57,39.3,37.98,38.17,4825062
COL,1/2/2014,74,74,72.952,73.11,731153
COO,1/2/2014,123.25,123.97,122.29,123.05,320701
COP,1/2/2014,70.27,70.92,69.53,69.78,4363288
COST,1/2/2014,118.71,119.3,117.74,117.81,1618678
COTY,1/2/2014,15.27,15.62,15.16,15.57,783829
CPB,1/2/2014,43.08,43.23,42.68,43.04,2169184
CRM,1/2/2014,55.2,55.21,54.4105,54.86,2739210
CSCO,1/2/2014,22.17,22.29,21.91,22,44387713
CSX,1/2/2014,28.61,28.67,28.19,28.25,4485698
CTAS,1/2/2014,59.25,59.37,58.68,59.06,580415
CTL,1/2/2014,31.74,31.82,31.51,31.65,4446283
CTSH,1/2/2014,50.125,50.375,49.215,49.42,5559598
CTXS,1/2/2014,63.04,63.19,61.97,62.49,1018355
CVS,1/2/2014,71.16,71.37,70.18,70.4,4489516
CVX,1/2/2014,124.46,124.88,123.71,124.14,4540472
CXO,1/2/2014,106.44,108.84,101.42,103.14,1815364
C,1/2/2014,52.03,52.4,51.81,52.27,16489767
DAL,1/2/2014,27.26,28.05,27.26,27.7,11704363
DE,1/2/2014,90.95,91.3,90.13,90.26,2462047
DFS,1/2/2014,55.79,56,55.14,55.36,2756625
DGX,1/2/2014,53.45,53.5,52.75,52.85,2857287
DG,1/2/2014,60.38,61.62,60.38,61.2,6018218
DHI,1/2/2014,21.81,22.035,21.635,21.83,6140313
DHR,1/2/2014,76.66,77.01,76.1,76.45,2010443
DISCA,1/2/2014,90.21,90.25,88.6,89.1,893462
DISCK,1/2/2014,83.22,83.67,82.13,82.52,184546
DISH,1/2/2014,57.99,58.15,57.02,57.75,1724368
DIS,1/2/2014,76.04,76.5,75.9,76.27,5212460
DLR,1/2/2014,49.63,50.829,49.3,49.47,2583986
DLTR,1/2/2014,55.99,56.56,55.98,56.4,2424218
DOV,1/2/2014,96.54,96.74,94.93,95.25,647793
DPS,1/2/2014,48.86,48.93,47.48,47.67,1182288
DRE,1/2/2014,15.25,15.25,14.97,15.05,2550464
DRI,1/2/2014,54.18,54.34,53.295,53.32,1782716
DTE,1/2/2014,66.4,66.44,65.22,65.26,1415319
DUK,1/2/2014,69.2,69.24,68,68.14,3374033
DVA,1/2/2014,63.36,65.16,63.19,64.78,2901903
DVN,1/2/2014,61.69,61.84,60.92,61.16,2061600
D,1/2/2014,64.61,64.64,63.441,63.58,2284519
EA,1/2/2014,22.9,22.96,22.43,22.83,3550732
EBAY,1/2/2014,54.97,55,53.9,53.94,9980763
ECL,1/2/2014,103.58,104.42,103.41,103.79,814936
ED,1/2/2014,55.15,55.15,53.9,53.96,3337195
EFX,1/2/2014,68.95,69.25,68.2,68.45,336346
EIX,1/2/2014,46.06,46.491,45.41,45.43,2414961
EL,1/2/2014,74.99,75.1,73.56,73.71,1084018
EMN,1/2/2014,80.31,80.53,79.88,80.28,1612922
EMR,1/2/2014,69.83,70.03,69.1006,69.3,1803110
EOG,1/2/2014,83.285,83.978,82.03,82.51,2944140
EQIX,1/2/2014,177.63,177.63,171.91,174.76,823185
EQR,1/2/2014,51.74,52.305,51.55,51.99,1520619
EQT,1/2/2014,89.88,90.19,88.12,88.73,807841
ESRX,1/2/2014,70,70.41,69.77,69.955,2895590
ESS,1/2/2014,141.79,147.54,141.79,146.3,725431
ES,1/2/2014,42.35,42.42,41.7,41.72,2915300
ETFC,1/2/2014,19.71,19.86,19.58,19.81,3115394
ETN,1/2/2014,75.74,75.99,75.18,75.49,3774166
ETR,1/2/2014,63.35,63.39,61.71,61.84,1206645
EW,1/2/2014,32.84,33.22,32.595,32.96,1670338
EXC,1/2/2014,27.46,27.58,27.16,27.17,4983758
EXPD,1/2/2014,44.31,44.48,43.34,43.49,782942
EXPE,1/2/2014,69.08,69.69,68.56,69.21,1399901
EXR,1/2/2014,42.09,42.15,41.48,41.79,491126
FAST,1/2/2014,47.51,47.61,46.45,46.7,1532639
FBHS,1/2/2014,45.5,46.04,45.2,45.43,1024930
FB,1/2/2014,54.83,55.22,54.19,54.71,43257622
FCX,1/2/2014,37.69,38.09,37.44,37.63,9047737
FDX,1/2/2014,142.9,144.39,139.5693,139.77,3360745
FE,1/2/2014,32.96,32.98,32.25,32.38,3431905
FFIV,1/2/2014,90.42,90.47,88.445,88.89,1039619
FISV,1/2/2014,59.05,59.22,57.99,58.2,1028767
FIS,1/2/2014,53.4,53.55,52.79,53,986757
FITB,1/2/2014,20.94,21.06,20.83,20.87,6971216
FLIR,1/2/2014,29.92,30.01,29.07,29.11,781424
FLR,1/2/2014,79.82,80.2,78.79,78.87,1206471
FLS,1/2/2014,78.17,78.46,76.99,77.3,1400867
FL,1/2/2014,41.36,41.52,40.59,40.78,1559184
FMC,1/2/2014,75.27,75.38,74.33,74.53,605886
FOXA,1/2/2014,35.47,35.75,35.27,35.63,11035482
FOX,1/2/2014,34.58,35.18,34.45,35.04,1978530
FRT,1/2/2014,101.38,101.84,100.366,100.9,501833
FTI,1/2/2014,51.94,52.21,50.861,51.25,1964533
F,1/2/2014,15.42,15.45,15.28,15.44,31544161
GD,1/2/2014,94.85,95.53,94.54,94.75,1816353
GE,1/2/2014,27.86,27.94,27.41,27.5,41503781
GGP,1/2/2014,20.08,20.12,19.86,20.04,4861847
GILD,1/2/2014,75.205,75.59,74.39,75.21,8281053
GIS,1/2/2014,49.6,49.68,49.27,49.4,2205527
GLW,1/2/2014,17.74,17.81,17.62,17.77,7571718
GM,1/2/2014,40.68,41.0599,40.34,40.95,14764415
GOOGL,1/2/2014,558.2877,559.4339,554.6842,557.1166,3641796
GPC,1/2/2014,83.1,83.1299,81.63,81.92,545102
GPN,1/2/2014,32.445,32.745,32.445,32.725,1658578
GPS,1/2/2014,39.09,39.63,38.66,38.72,4785190
GRMN,1/2/2014,45.75,45.835,44.56,44.95,1830255
GS,1/2/2014,176.95,178.38,176.36,176.89,1990643
GT,1/2/2014,23.67,23.74,23.31,23.53,2792843
GWW,1/2/2014,254.7,255.48,252.82,253.06,285125
HAL,1/2/2014,50.47,50.67,49.63,50.01,7420119
HAS,1/2/2014,54.89,55.18,54.56,54.58,2326340
HBAN,1/2/2014,9.6,9.66,9.53,9.54,7039144
HBI,1/2/2014,17.455,17.54,17.205,17.3875,2123404
HCA,1/2/2014,47.39,48.4,47.26,47.77,2221061
HCN,1/2/2014,53.15,53.6855,53.08,53.54,2575096
HCP,1/2/2014,36.33,36.43,36,36.21,2100032
HD,1/2/2014,82.11,82.57,81.8,82.02,4255086
HES,1/2/2014,82.95,83,80.685,81.12,2755967
HIG,1/2/2014,36.1,36.13,35.38,35.4,3545824
HII,1/2/2014,89.63,90.08,87.42,87.91,479111
HOG,1/2/2014,69.19,69.25,68.42,68.56,1022542
HOLX,1/2/2014,22.22,22.3,21.91,21.94,2475125
HON,1/2/2014,90.96,91.14,90.05,90.32,1744307
HP,1/2/2014,83.95,84.28,82.03,82.25,953505
HRB,1/2/2014,28.99,29.41,28.95,29.38,1835433
HRL,1/2/2014,22.555,22.585,22.315,22.315,1371966
HRS,1/2/2014,69.63,69.65,68.08,68.48,601686
HSIC,1/2/2014,57.005,57.13,56.495,56.745,693768
HST,1/2/2014,19.41,19.42,19.08,19.26,4973190
HSY,1/2/2014,97.18,97.18,95.9,95.93,753497
HUM,1/2/2014,102.76,103.88,102.3,102.84,1393665
IBM,1/2/2014,187.21,187.4,185.2,185.53,4546809
ICE,1/2/2014,44.832,45.098,44.43,44.92,3833350
IDXX,1/2/2014,52.995,53.735,52.3176,52.515,855188
IFF,1/2/2014,85.98,86.5,85.47,85.65,346558
ILMN,1/2/2014,110.48,110.6,108.91,110.34,654500
INCY,1/2/2014,50.32,52.1,49.655,51.23,978188
INTC,1/2/2014,25.78,25.82,25.47,25.79,31843697
INTU,1/2/2014,76.11,76.16,75.4001,75.94,1355681
IPG,1/2/2014,17.6,17.665,17.47,17.6,3238010
IP,1/2/2014,48.58,49.15,48.54,48.8,2152672
IQV,1/2/2014,46.11,46.59,45.64,45.8,274612
IRM,1/2/2014,30.26,30.48,29.22,29.49,1886423
IR,1/2/2014,61.25,61.7,61.12,61.24,1916195
ISRG,1/2/2014,127.8799,127.8799,126.0899,126.6699,1382829
ITW,1/2/2014,83.97,84.1,83.07,83.19,1390787
IT,1/2/2014,70.89,70.92,69.58,69.8,377433
IVZ,1/2/2014,36.26,36.4,35.675,35.87,1866179
JBHT,1/2/2014,77.17,77.29,76.26,76.6,538630
JCI,1/2/2014,42.8063,43.0157,42.3665,42.5759,2881549
JEC,1/2/2014,63.67,64.1,62.655,62.88,1545713
JNJ,1/2/2014,91.14,91.73,91.01,91.03,5921167
JNPR,1/2/2014,22.57,22.65,22.28,22.48,5654017
JPM,1/2/2014,58.31,58.5,57.9745,58.21,15637267
JWN,1/2/2014,61.67,62.2,61.34,61.95,1177814
KEY,1/2/2014,13.43,13.44,13.26,13.29,6353925
KIM,1/2/2014,19.77,19.86,19.61,19.77,2627327
KLAC,1/2/2014,64,64.11,63.13,63.38,982745
KMB,1/2/2014,104.32,104.62,103.52,103.84,1432910
KMI,1/2/2014,35.99,36.25,35.75,35.91,4214292
KMX,1/2/2014,47.02,47.25,46.57,46.9,1325121
KORS,1/2/2014,80.94,82.75,80.94,82.41,3342211
KO,1/2/2014,41.12,41.225,40.51,40.66,12720197
KR,1/2/2014,19.63,19.77,19.605,19.64,6389552
KSS,1/2/2014,56.76,57.53,56.735,56.99,3130048
KSU,1/2/2014,123.04,123.21,119.46,120,801815
K,1/2/2014,60.98,61.24,60.55,60.81,1830452
LB,1/2/2014,61.68,62.52,61.41,61.59,745300
LEG,1/2/2014,30.87,30.92,30.54,30.66,713229
LEN,1/2/2014,38.3922,38.7941,38.0196,38.6471,2517275
LH,1/2/2014,91.37,91.6299,90.045,90.23,1060349
LKQ,1/2/2014,32.84,32.8997,32.29,32.4,790694
LLL,1/2/2014,106.07,106.28,104.94,105.08,720066
LLY,1/2/2014,50.97,51.0901,50.56,50.73,3176683
LMT,1/2/2014,147.05,147.79,145.84,146.07,1115858
LNC,1/2/2014,51.33,51.34,50.28,50.53,1767432
LNT,1/2/2014,25.805,25.805,25.345,25.39,1103324
LOW,1/2/2014,49.55,49.86,49.15,49.44,5458567
LRCX,1/2/2014,54.04,54.33,53.69,53.95,1052918
LUK,1/2/2014,28.37,28.65,28.24,28.5,1237210
LUV,1/2/2014,18.85,19.09,18.78,18.88,4559256
LYB,1/2/2014,80.05,80.2099,77.9,78.78,4922706
L,1/2/2014,48.12,48.15,47.15,47.38,868993
MAA,1/2/2014,60.74,61.43,60.472,61.06,345293
MAC,1/2/2014,58.69,58.825,57.84,58.38,767845
MAR,1/2/2014,49.03,49.26,48.57,48.96,2127020
MAS,1/2/2014,22.73,22.91,22.61,22.69,2330880
MAT,1/2/2014,47.57,47.72,46.935,47.39,2335717
MA,1/2/2014,83.741,83.7967,83.01,83.414,7408790
MCD,1/2/2014,96.81,97.03,96.2576,96.41,2932283
MCHP,1/2/2014,44.56,44.56,44.005,44.17,1150289
MCK,1/2/2014,160.85,160.9875,159.451,160.16,846980
MCO,1/2/2014,77.86,77.96,76.42,77.32,950687
MDLZ,1/2/2014,35.03,35.198,34.75,34.81,6213092
MDT,1/2/2014,57.21,57.455,57.035,57.24,4219216
MET,1/2/2014,53.55,53.57,52.89,53.19,3879875
MGM,1/2/2014,23.54,23.94,23.32,23.72,8408771
MHK,1/2/2014,148.72,149.66,147.78,149.11,676997
MKC,1/2/2014,68.87,68.96,68.09,68.34,470695
MLM,1/2/2014,99.54,100.18,98.74,99.54,393209
MMC,1/2/2014,48.01,48.15,47.61,47.72,1383352
MMM,1/2/2014,138.05,139,137.61,138.13,3053521
MNST,1/2/2014,22.6266,22.6633,22.2166,22.26,4593288
MON,1/2/2014,116.12,117.5,115.97,116.31,2677114
MOS,1/2/2014,47.25,47.65,46.955,47,1648763
MO,1/2/2014,38.27,38.38,37.781,37.9,6324825
MPC,1/2/2014,45.745,45.91,44.4151,44.74,6070238
MRK,1/2/2014,49.88,50.04,49.3,49.49,7897827
MRO,1/2/2014,35.25,35.33,34.72,34.91,3686485
MSFT,1/2/2014,37.35,37.4,37.1,37.16,30643745
MSI,1/2/2014,67.37,67.49,65.84,66.33,1101567
MS,1/2/2014,31.33,31.46,30.98,31.03,9843424
MTB,1/2/2014,116.38,116.4,114.86,115.06,1069011
MTD,1/2/2014,241.09,243.19,239.92,241.53,154360
MU,1/2/2014,21.68,21.79,21.27,21.66,26441939
MYL,1/2/2014,43.38,43.42,42.55,42.58,2625267
M,1/2/2014,53.17,53.91,52.95,53.39,2972778
NBL,1/2/2014,67.86,67.95,66.1101,66.59,2281302
NCLH,1/2/2014,35.16,35.4,34.46,34.64,428429
NDAQ,1/2/2014,39.89,39.96,39.15,39.2,1051348
NEE,1/2/2014,85.39,85.48,84.22,84.25,2429054
NEM,1/2/2014,23.47,24.27,23.41,23.96,12240365
NFLX,1/2/2014,52.4014,52.5114,51.5428,51.8314,12333979
NFX,1/2/2014,24.6,24.7,24.12,24.37,2507893
NI,1/2/2014,32.84,32.91,32.11,32.29,2244773
NKE,1/2/2014,39.075,39.415,38.965,39.12,5320436
NLSN,1/2/2014,45.8,45.9,44.88,45.08,1904066
NOC,1/2/2014,114.18,114.49,112.76,113.23,1083625
NOV,1/2/2014,79.4,80.26,78.73,79.02,2505462
NRG,1/2/2014,28.74,28.78,28.5,28.58,3896367
NSC,1/2/2014,92.33,92.59,91.07,91.31,1321650
NTAP,1/2/2014,41.01,41.01,40.415,40.42,2427140
NTRS,1/2/2014,61.76,61.95,60.665,60.89,1011050
NUE,1/2/2014,53.29,53.38,52.51,52.73,1611326
NVDA,1/2/2014,15.92,15.98,15.72,15.86,6502296
